#Name,Accession,Start,Stop,Strand,GeneID,Locus,Locus tag,Protein product,Length,Protein Name
"chromosome","NC_002516.2",748662,749774,"+",880810,,"PA0689","NP_249380.1",370,"hypothetical protein PA0689"
"chromosome","NC_002516.2",749957,762499,"+",880803,,"PA0690","NP_249381.1",4180,"hypothetical protein PA0690"
"chromosome","NC_002516.2",762891,763493,"+",880799,,"PA0691","NP_249382.1",200,"hypothetical protein PA0691"
"chromosome","NC_002516.2",763657,765291,"+",880708,,"PA0692","NP_249383.1",544,"hypothetical protein PA0692"
"chromosome","NC_002516.2",765315,767162,"+",880774,"exbB2","PA0693","NP_249384.1",615,"transporter ExbB"
"chromosome","NC_002516.2",767173,767592,"+",880789,"exbD2","PA0694","NP_249385.1",139,"transporter ExbD"
"chromosome","NC_002516.2",767601,768347,"+",882165,,"PA0695","NP_249386.1",248,"hypothetical protein PA0695"
"chromosome","NC_002516.2",768415,770121,"+",880782,,"PA0696","NP_249387.1",568,"hypothetical protein PA0696"
"chromosome","NC_002516.2",770156,770818,"+",878404,,"PA0697","NP_249388.1",220,"hypothetical protein PA0697"
"chromosome","NC_002516.2",770847,771326,"+",880718,,"PA0698","NP_249389.1",159,"hypothetical protein PA0698"
"chromosome","NC_002516.2",771331,772275,"+",877592,,"PA0699","NP_249390.1",314,"PpiC-type peptidyl-prolyl cis-trans isomerase"
"chromosome","NC_002516.2",772275,772700,"+",880765,,"PA0700","NP_249391.1",141,"hypothetical protein PA0700"
"chromosome","NC_002516.2",772710,773696,"+",880787,,"PA0701","NP_249392.1",328,"transcriptional regulator"
"chromosome","NC_002516.2",773768,774433,"+",17373342,,"PA0701a","YP_008719734.1",221,"AraC family transcriptional regulator"
"chromosome","NC_002516.2",774416,775321,"-",880784,,"PA0702","NP_249393.1",301,"hypothetical protein PA0702"
"chromosome","NC_002516.2",775400,776716,"-",878398,,"PA0703","NP_249394.1",438,"major facilitator superfamily transporter"
"chromosome","NC_002516.2",776787,778181,"-",880754,,"PA0704","NP_249395.1",464,"amidase"
"chromosome","NC_002516.2",778309,779208,"-",878545,"migA","PA0705","NP_249396.1",299,"alpha-1,6-rhamnosyltransferase MigA"
"chromosome","NC_002516.2",779463,780101,"-",878374,"cat","PA0706","NP_249397.1",212,"chloramphenicol acetyltransferase"
"chromosome","NC_002516.2",780194,780973,"-",880684,"toxR","PA0707","NP_249398.1",259,"transcriptional regulator ToxR"
"chromosome","NC_002516.2",781259,782113,"-",877600,,"PA0708","NP_249399.1",284,"transcriptional regulator"
"chromosome","NC_002516.2",782229,782525,"+",880712,,"PA0709","NP_249400.1",98,"hypothetical protein PA0709"
"chromosome","NC_002516.2",782570,782965,"+",878796,"gloA2","PA0710","NP_249401.1",131,"lactoylglutathione lyase"
"chromosome","NC_002516.2",783009,783515,"-",878381,,"PA0711","NP_249402.1",168,"hypothetical protein PA0711"
"chromosome","NC_002516.2",783576,783833,"-",882261,,"PA0712","NP_249403.1",85,"hypothetical protein PA0712"
"chromosome","NC_002516.2",784173,784466,"+",882235,,"PA0713","NP_249404.1",97,"hypothetical protein PA0713"
"chromosome","NC_002516.2",784698,785174,"+",882257,,"PA0714","NP_249405.1",158,"hypothetical protein PA0714"
"chromosome","NC_002516.2",785969,786925,"+",879902,,"PA0715","NP_249406.1",318,"hypothetical protein PA0715"
"chromosome","NC_002516.2",786928,788253,"+",882248,,"PA0716","NP_249407.1",441,"hypothetical protein PA0716"
"chromosome","NC_002516.2",789360,789650,"+",880688,,"PA0718","NP_249409.1",96,"hypothetical protein PA0718"
"chromosome","NC_002516.2",789654,790031,"+",882252,,"PA0719","NP_249410.1",125,"hypothetical protein PA0719"
"chromosome","NC_002516.2",790166,790600,"+",877782,,"PA0720","NP_249411.1",144,"helix destabilizing protein of bacteriophage Pf1"
"chromosome","NC_002516.2",790617,790709,"+",880780,,"PA0721","NP_249412.1",30,"hypothetical protein PA0721"
"chromosome","NC_002516.2",790722,790973,"+",880678,,"PA0722","NP_249413.1",83,"hypothetical protein PA0722"
"chromosome","NC_002516.2",790986,791234,"+",880778,"coaB","PA0723","NP_249414.1",82,"phage coat protein B"
"chromosome","NC_002516.2",791370,792632,"+",880777,,"PA0724","NP_249415.1",420,"phage coat protein A"
"chromosome","NC_002516.2",792637,792993,"+",877789,,"PA0725","NP_249416.1",118,"hypothetical protein PA0725"
"chromosome","NC_002516.2",792997,794271,"+",882269,,"PA0726","NP_249417.1",424,"hypothetical protein PA0726"
"chromosome","NC_002516.2",794501,795793,"+",880742,,"PA0727","NP_249418.1",430,"hypothetical protein PA0727"
"chromosome","NC_002516.2",795793,796776,"+",882014,,"PA0728","NP_249419.1",327,"bacteriophage integrase"
"chromosome","NC_002516.2",797251,797598,"+",877701,,"PA0729","NP_249420.1",115,"hypothetical protein PA0729"
"chromosome","NC_002516.2",797925,798827,"-",877678,,"PA0730","NP_249421.1",300,"(R)-3-hydroxydecanoyl-ACP:CoA transacylase"
"chromosome","NC_002516.2",799279,800016,"-",879770,,"PA0731","NP_249422.1",245,"hypothetical protein PA0731"
"chromosome","NC_002516.2",800096,801139,"-",880615,,"PA0732","NP_249423.1",347,"hypothetical protein PA0732"
"chromosome","NC_002516.2",801275,801967,"-",880710,,"PA0733","NP_249424.1",230,"16S rRNA pseudouridine(516) synthase"
"chromosome","NC_002516.2",801967,802239,"-",877923,,"PA0734","NP_249425.1",90,"hypothetical protein PA0734"
"chromosome","NC_002516.2",802260,803075,"-",878402,,"PA0735","NP_249426.1",271,"hypothetical protein PA0735"
"chromosome","NC_002516.2",803072,804148,"-",878261,,"PA0736","NP_249427.1",358,"hypothetical protein PA0736"
"chromosome","NC_002516.2",804381,804560,"+",17373343,,"PA0736a","YP_008719735.1",59,"hypothetical protein PA0736a"
"chromosome","NC_002516.2",804656,805111,"+",880649,,"PA0737","NP_249428.1",151,"hypothetical protein PA0737"
"chromosome","NC_002516.2",805228,805473,"+",880709,,"PA0738","NP_249429.1",81,"hypothetical protein PA0738"
"chromosome","NC_002516.2",805788,806702,"-",878029,,"PA0739","NP_249430.1",304,"transcriptional regulator"
"chromosome","NC_002516.2",806805,808781,"+",882069,"sdsA1","PA0740","NP_249431.1",658,"SDS hydrolase SdsA1"
"chromosome","NC_002516.2",808816,809457,"-",877736,,"PA0741","NP_249432.1",213,"hypothetical protein PA0741"
"chromosome","NC_002516.2",809574,810218,"-",878042,,"PA0742","NP_249433.2",214,"hypothetical protein PA0742"
"chromosome","NC_002516.2",810275,811171,"-",882135,,"PA0743","NP_249434.1",298,"NAD-dependent L-serine dehydrogenase"
"chromosome","NC_002516.2",811283,812386,"-",878206,,"PA0744","NP_249435.1",367,"enoyl-CoA hydratase"
"chromosome","NC_002516.2",812445,813263,"-",878156,,"PA0745","NP_249436.1",272,"enoyl-CoA hydratase"
"chromosome","NC_002516.2",813329,814492,"-",879393,,"PA0746","NP_249437.1",387,"acyl-CoA dehydrogenase"
"chromosome","NC_002516.2",814504,816012,"-",882095,,"PA0747","NP_249438.1",502,"aldehyde dehydrogenase"
"chromosome","NC_002516.2",817082,817903,"+",879353,,"PA0749","NP_249440.1",273,"hypothetical protein PA0749"
"chromosome","NC_002516.2",818003,818698,"+",881872,"ung","PA0750","NP_249441.1",231,"uracil-DNA glycosylase"
"chromosome","NC_002516.2",818825,819862,"-",880746,,"PA0751","NP_249442.1",345,"hypothetical protein PA0751"
"chromosome","NC_002516.2",819855,821372,"-",881989,,"PA0752","NP_249443.1",505,"hypothetical protein PA0752"
"chromosome","NC_002516.2",821383,821853,"-",877594,,"PA0753","NP_249444.1",156,"hypothetical protein PA0753"
"chromosome","NC_002516.2",821902,822885,"-",882147,,"PA0754","NP_249445.1",327,"hypothetical protein PA0754"
"chromosome","NC_002516.2",822915,824198,"-",882059,"opdH","PA0755","NP_249446.1",427,"cis-aconitate porin OpdH"
"chromosome","NC_002516.2",824409,825080,"+",877615,,"PA0756","NP_249447.1",223,"two-component response regulator"
"chromosome","NC_002516.2",825073,826455,"+",880811,,"PA0757","NP_249448.1",460,"two-component sensor"
"chromosome","NC_002516.2",826463,827299,"-",879467,,"PA0758","NP_249449.1",278,"hypothetical protein PA0758"
"chromosome","NC_002516.2",827400,828344,"-",878414,,"PA0759","NP_249450.1",314,"hypothetical protein PA0759"
"chromosome","NC_002516.2",828617,828871,"+",880656,,"PA0760","NP_249451.1",84,"hypothetical protein PA0760"
"chromosome","NC_002516.2",829276,830892,"-",882067,"nadB","PA0761","NP_249452.1",538,"L-aspartate oxidase"
"chromosome","NC_002516.2",831301,831882,"+",882125,"algU","PA0762","NP_249453.1",193,"RNA polymerase sigma factor AlgU"
"chromosome","NC_002516.2",831914,832498,"+",879357,"mucA","PA0763","NP_249454.1",194,"sigma factor AlgU negative regulator MucA"
"chromosome","NC_002516.2",832507,833457,"+",882064,"mucB","PA0764","NP_249455.1",316,"sigma factor AlgU regulator MucB"
"chromosome","NC_002516.2",833454,833909,"+",877954,"mucC","PA0765","NP_249456.1",151,"positive regulator for alginate biosynthesis MucC"
"chromosome","NC_002516.2",833949,835373,"+",879207,"mucD","PA0766","NP_249457.1",474,"serine protease MucD"
"chromosome","NC_002516.2",835523,837322,"+",881998,"lepA","PA0767","NP_249458.1",599,"elongation factor 4"
"chromosome","NC_002516.2",837328,838182,"+",882104,"lepB","PA0768","NP_249459.1",284,"signal peptidase I"
"chromosome","NC_002516.2",838351,838728,"+",879500,,"PA0769","NP_249460.1",125,"hypothetical protein PA0769"
"chromosome","NC_002516.2",838725,839414,"+",882139,"rnc","PA0770","NP_249461.1",229,"ribonuclease III"
"chromosome","NC_002516.2",839407,840324,"+",879487,"era","PA0771","NP_249462.1",305,"GTPase Era"
"chromosome","NC_002516.2",840385,841086,"+",878213,"recO","PA0772","NP_249463.1",233,"DNA repair protein RecO"
"chromosome","NC_002516.2",841079,841825,"+",878131,"pdxJ","PA0773","NP_249464.1",248,"pyridoxine 5\\'-phosphate synthase"
"chromosome","NC_002516.2",841913,842881,"-",878567,,"PA0774","NP_249465.1",322,"tRNA (mo5U34)-methyltransferase"
"chromosome","NC_002516.2",842878,843618,"-",879217,,"PA0775","NP_249466.1",246,"tRNA (cmo5U34)-methyltransferase"
"chromosome","NC_002516.2",843723,844295,"-",879270,,"PA0776","NP_249467.1",190,"hypothetical protein PA0776"
"chromosome","NC_002516.2",844427,845179,"-",877691,,"PA0777","NP_249468.1",250,"hypothetical protein PA0777"
"chromosome","NC_002516.2",845278,845682,"-",879252,"icp","PA0778","NP_249469.1",134,"inhibitor of cysteine peptidase"
"chromosome","NC_002516.2",845793,848192,"-",877837,,"PA0779","NP_249470.1",799,"ATP-dependent protease"
"chromosome","NC_002516.2",848383,849135,"+",880836,"pruR","PA0780","NP_249471.1",250,"proline utilization regulator"
"chromosome","NC_002516.2",849256,851319,"-",882115,,"PA0781","NP_249472.1",687,"hypothetical protein PA0781"
"chromosome","NC_002516.2",851783,854965,"+",878503,"putA","PA0782","NP_249473.1",1060,"bifunctional proline dehydrogenase/pyrroline-5-carboxylate dehydrogenase"
"chromosome","NC_002516.2",855277,856797,"+",877927,"putP","PA0783","NP_249474.1",506,"sodium/proline symporter PutP"
"chromosome","NC_002516.2",856942,857871,"-",880845,,"PA0784","NP_249475.1",309,"transcriptional regulator"
"chromosome","NC_002516.2",857998,858636,"+",882036,"azoR1","PA0785","NP_249476.1",212,"FMN-dependent NADH-azoreductase AzoR"
"chromosome","NC_002516.2",858646,858951,"+",880741,,"PA0786","NP_249477.1",101,"transporter"
"chromosome","NC_002516.2",859007,860170,"+",878491,,"PA0787","NP_249478.1",387,"hypothetical protein PA0787"
"chromosome","NC_002516.2",860175,863300,"-",882152,,"PA0788","NP_249479.1",1041,"hypothetical protein PA0788"
"chromosome","NC_002516.2",863455,863664,"+",17373344,,"PA0788a","YP_008719736.1",69,"hypothetical protein PA0788a"
"chromosome","NC_002516.2",864095,865510,"+",879370,,"PA0789","NP_249480.1",471,"amino acid permease"
"chromosome","NC_002516.2",865636,866451,"-",882045,,"PA0790","NP_249481.1",271,"hypothetical protein PA0790"
"chromosome","NC_002516.2",866558,867346,"+",882086,,"PA0791","NP_249482.1",262,"transcriptional regulator"
"chromosome","NC_002516.2",867324,868808,"-",881990,"prpD","PA0792","NP_249483.1",494,"2-methylcitrate dehydratase"
"chromosome","NC_002516.2",868943,870130,"-",878041,,"PA0793","NP_249484.1",395,"hypothetical protein PA0793"
"chromosome","NC_002516.2",870249,872855,"-",882027,,"PA0794","NP_249485.1",868,"aconitate hydratase"
"chromosome","NC_002516.2",872986,874113,"-",880674,"prpC","PA0795","NP_249486.1",375,"methylcitrate synthase"
"chromosome","NC_002516.2",874206,875102,"-",882026,"prpB","PA0796","NP_249487.1",298,"2-methylisocitrate lyase"
"chromosome","NC_002516.2",875113,875835,"-",877945,,"PA0797","NP_249488.1",240,"transcriptional regulator"
"chromosome","NC_002516.2",875953,876603,"+",881992,"pmtA","PA0798","NP_249489.1",216,"phospholipid methyltransferase"
"chromosome","NC_002516.2",876617,878608,"-",878028,,"PA0799","NP_249490.1",663,"helicase"
"chromosome","NC_002516.2",879027,879560,"+",878388,,"PA0800","NP_249491.1",177,"hypothetical protein PA0800"
"chromosome","NC_002516.2",879557,881077,"+",879203,,"PA0801","NP_249492.1",506,"hypothetical protein PA0801"
"chromosome","NC_002516.2",881077,881400,"+",880826,,"PA0802","NP_249493.1",107,"hypothetical protein PA0802"
"chromosome","NC_002516.2",881486,881926,"+",880748,,"PA0803","NP_249494.1",146,"hypothetical protein PA0803"
"chromosome","NC_002516.2",881958,882779,"+",878125,,"PA0804","NP_249495.1",273,"oxidoreductase"
"chromosome","NC_002516.2",882989,883216,"-",879455,,"PA0805","NP_249496.1",75,"hypothetical protein PA0805"
"chromosome","NC_002516.2",883777,884172,"+",882992,,"PA0806","NP_249497.1",131,"hypothetical protein PA0806"
"chromosome","NC_002516.2",884799,885566,"+",877713,"ampDh3","PA0807","NP_249498.1",255,"protein AmpDh3"
"chromosome","NC_002516.2",885635,886108,"+",879342,,"PA0808","NP_249499.1",157,"hypothetical protein PA0808"
"chromosome","NC_002516.2",886160,887476,"-",877623,,"PA0809","NP_249500.1",438,"divalent metal cation transporter MntH"
"chromosome","NC_002516.2",887583,888284,"-",882076,,"PA0810","NP_249501.1",233,"haloacid dehalogenase"
"chromosome","NC_002516.2",888315,889562,"-",879246,,"PA0811","NP_249502.1",415,"major facilitator superfamily transporter"
"chromosome","NC_002516.2",889559,890854,"-",882091,,"PA0812","NP_249503.1",431,"hypothetical protein PA0812"
"chromosome","NC_002516.2",891142,892389,"-",882049,,"PA0813","NP_249504.1",415,"hypothetical protein PA0813"
"chromosome","NC_002516.2",892386,892820,"-",879349,,"PA0814","NP_249505.1",144,"hypothetical protein PA0814"
"chromosome","NC_002516.2",893041,893994,"+",879524,,"PA0815","NP_249506.1",317,"transcriptional regulator"
"chromosome","NC_002516.2",893967,894851,"-",880912,,"PA0816","NP_249507.1",294,"transcriptional regulator"
"chromosome","NC_002516.2",894952,895377,"+",879378,,"PA0817","NP_249508.1",141,"ring-cleaving dioxygenase"
"chromosome","NC_002516.2",895396,895668,"-",879301,,"PA0818","NP_249509.1",90,"hypothetical protein PA0818"
"chromosome","NC_002516.2",895824,896117,"+",882118,,"PA0819","NP_249510.1",97,"hypothetical protein PA0819"
"chromosome","NC_002516.2",896416,897228,"+",880918,,"PA0820","NP_249511.1",270,"hypothetical protein PA0820"
"chromosome","NC_002516.2",897335,898423,"-",878355,,"PA0821","NP_249512.1",362,"hypothetical protein PA0821"
"chromosome","NC_002516.2",898908,899141,"-",877900,,"PA0823","NP_249514.1",77,"hypothetical protein PA0823"
"chromosome","NC_002516.2",899138,899656,"-",877875,,"PA0824","NP_249515.1",172,"hypothetical protein PA0824"
"chromosome","NC_002516.2",899830,900165,"-",880620,,"PA0825","NP_249516.1",111,"hypothetical protein PA0825"
"chromosome","NC_002516.2",900408,901046,"-",882006,,"PA0826","NP_249517.1",212,"hypothetical protein PA0826"
"chromosome","NC_002516.2",901934,902812,"-",882089,,"PA0827","NP_249518.1",292,"hypothetical protein PA0827"
"chromosome","NC_002516.2",902900,903583,"+",879345,,"PA0828","NP_249519.1",227,"transcriptional regulator"
"chromosome","NC_002516.2",903692,904633,"+",878104,,"PA0829","NP_249520.1",313,"hydrolase"
"chromosome","NC_002516.2",904768,905601,"-",879283,,"PA0830","NP_249521.1",277,"hypothetical protein PA0830"
"chromosome","NC_002516.2",905726,906745,"+",878384,"oruR","PA0831","NP_249522.1",339,"ornithine utilization transcriptional regulator OruR"
"chromosome","NC_002516.2",906847,907488,"+",881972,,"PA0832","NP_249523.1",213,"hypothetical protein PA0832"
"chromosome","NC_002516.2",907594,908307,"+",878406,,"PA0833","NP_249524.1",237,"hypothetical protein PA0833"
"chromosome","NC_002516.2",908377,909291,"-",882122,,"PA0834","NP_249525.1",304,"acyltransferase"
"chromosome","NC_002516.2",909418,911532,"-",882123,"pta","PA0835","NP_249526.1",704,"phosphate acetyltransferase"
"chromosome","NC_002516.2",911595,912779,"-",877790,"ackA","PA0836","NP_249527.1",394,"acetate kinase"
"chromosome","NC_002516.2",913086,913571,"+",880885,"slyD","PA0837","NP_249528.1",161,"peptidyl-prolyl cis-trans isomerase SlyD"
"chromosome","NC_002516.2",913777,914259,"+",879443,,"PA0838","NP_249529.1",160,"glutathione peroxidase"
"chromosome","NC_002516.2",914412,915002,"+",882078,,"PA0839","NP_249530.1",196,"transcriptional regulator"
"chromosome","NC_002516.2",915043,916155,"+",881988,,"PA0840","NP_249531.1",370,"oxidoreductase"
"chromosome","NC_002516.2",916346,917305,"+",882002,,"PA0841","NP_249532.1",319,"hypothetical protein PA0841"
"chromosome","NC_002516.2",917309,918529,"-",882105,,"PA0842","NP_249533.1",406,"glycosyl transferase family protein"
"chromosome","NC_002516.2",918617,919240,"-",882099,"plcR","PA0843","NP_249534.1",207,"phospholipase C accessory protein PlcR"
"chromosome","NC_002516.2",919258,921450,"-",879296,"plcH","PA0844","NP_249535.1",730,"hemolytic phospholipase C"
"chromosome","NC_002516.2",921792,923804,"-",880698,,"PA0845","NP_249536.1",670,"neutral ceramidase"
"chromosome","NC_002516.2",924182,924922,"-",880298,,"PA0846","NP_249537.1",246,"sulfate transporter CysZ"
"chromosome","NC_002516.2",925007,927214,"-",882143,,"PA0847","NP_249538.1",735,"hypothetical protein PA0847"
"chromosome","NC_002516.2",927147,927746,"+",877588,,"PA0848","NP_249539.1",199,"alkyl hydroperoxide reductase"
"chromosome","NC_002516.2",927880,928830,"+",882024,"trxB2","PA0849","NP_249540.1",316,"thioredoxin reductase"
"chromosome","NC_002516.2",929084,929503,"+",882012,,"PA0850","NP_249541.1",139,"hypothetical protein PA0850"
"chromosome","NC_002516.2",929514,930476,"-",882054,,"PA0851","NP_249542.1",320,"hypothetical protein PA0851"
"chromosome","NC_002516.2",930653,931822,"-",877771,"cbpD","PA0852","NP_249543.1",389,"chitin-binding protein CbpD"
"chromosome","NC_002516.2",932102,932725,"-",881941,,"PA0853","NP_249544.1",207,"oxidoreductase"
"chromosome","NC_002516.2",932718,934112,"-",878044,"fumC2","PA0854","NP_249545.1",464,"fumarate hydratase"
"chromosome","NC_002516.2",934241,935260,"-",882112,,"PA0855","NP_249546.1",339,"hypothetical protein PA0855"
"chromosome","NC_002516.2",935427,935975,"+",879247,,"PA0856","NP_249547.1",182,"hypothetical protein PA0856"
"chromosome","NC_002516.2",935989,936294,"+",880702,"bolA","PA0857","NP_249548.1",101,"morphogene protein BolA"
"chromosome","NC_002516.2",936459,937397,"+",877907,,"PA0858","NP_249549.1",312,"hypothetical protein PA0858"
"chromosome","NC_002516.2",937437,938039,"+",882146,,"PA0859","NP_249550.1",200,"hypothetical protein PA0859"
"chromosome","NC_002516.2",938032,939822,"+",882151,,"PA0860","NP_249551.1",596,"ABC transporter ATP-binding protein/permease"
"chromosome","NC_002516.2",940117,942573,"+",882259,,"PA0861","NP_249552.1",818,"hypothetical protein PA0861"
"chromosome","NC_002516.2",942648,943430,"+",882204,,"PA0862","NP_249553.1",260,"hypothetical protein PA0862"
"chromosome","NC_002516.2",943482,944441,"-",882218,,"PA0863","NP_249554.1",319,"oxidoreductase"
"chromosome","NC_002516.2",944724,945512,"-",882030,,"PA0864","NP_249555.1",262,"transcriptional regulator"
"chromosome","NC_002516.2",945834,946907,"+",882225,"hpd","PA0865","NP_249556.1",357,"4-hydroxyphenylpyruvate dioxygenase"
"chromosome","NC_002516.2",947205,948623,"+",882250,"aroP2","PA0866","NP_249557.1",472,"aromatic amino acid transporter AroP"
"chromosome","NC_002516.2",948776,949159,"+",882238,"mliC","PA0867","NP_249558.1",127,"lysozyme inhibitor"
"chromosome","NC_002516.2",949280,949693,"+",878561,,"PA0868","NP_249559.1",137,"peptidyl-tRNA hydrolase"
"chromosome","NC_002516.2",949716,950648,"-",877694,"pbpG","PA0869","NP_249560.1",310,"D-alanyl-D-alanine endopeptidase"
"chromosome","NC_002516.2",950962,952161,"-",880839,"phhC","PA0870","NP_249561.1",399,"aromatic amino acid aminotransferase"
"chromosome","NC_002516.2",952158,952514,"-",880827,"phhB","PA0871","NP_249562.1",118,"pterin-4-alpha-carbinolamine dehydratase"
"chromosome","NC_002516.2",952619,953407,"-",879709,"phhA","PA0872","NP_249563.1",262,"phenylalanine 4-monooxygenase"
"chromosome","NC_002516.2",953691,955250,"+",878408,"phhR","PA0873","NP_249564.1",519,"transcriptional regulator PhhR"
"chromosome","NC_002516.2",955456,955722,"-",878390,,"PA0874","NP_249565.1",88,"hypothetical protein PA0874"
"chromosome","NC_002516.2",955991,958186,"-",880758,,"PA0875","NP_249566.1",731,"hypothetical protein PA0875"
"chromosome","NC_002516.2",958406,959350,"+",879478,,"PA0876","NP_249567.1",314,"transcriptional regulator"
"chromosome","NC_002516.2",959484,960380,"-",879690,,"PA0877","NP_249568.1",298,"transcriptional regulator"
"chromosome","NC_002516.2",960497,961324,"+",877582,,"PA0878","NP_249569.1",275,"hypothetical protein PA0878"
"chromosome","NC_002516.2",961370,962530,"+",879721,,"PA0879","NP_249570.1",386,"acyl-CoA dehydrogenase"
"chromosome","NC_002516.2",962545,962925,"+",879214,,"PA0880","NP_249571.1",126,"ring-cleaving dioxygenase"
"chromosome","NC_002516.2",962964,964316,"+",877685,,"PA0881","NP_249572.1",450,"hypothetical protein PA0881"
"chromosome","NC_002516.2",964372,965574,"+",880849,,"PA0882","NP_249573.1",400,"hypothetical protein PA0882"
"chromosome","NC_002516.2",965585,966412,"+",878033,,"PA0883","NP_249574.1",275,"acyl-CoA lyase subunit beta"
"chromosome","NC_002516.2",966526,967521,"+",878364,,"PA0884","NP_249575.1",331,"C4-dicarboxylate-binding protein"
"chromosome","NC_002516.2",967570,968208,"+",878538,,"PA0885","NP_249576.1",212,"C4-dicarboxylate transporter"
"chromosome","NC_002516.2",968205,969488,"+",879689,,"PA0886","NP_249577.1",427,"C4-dicarboxylate transporter"
"chromosome","NC_002516.2",969670,971625,"+",879732,"acsA","PA0887","NP_249578.1",651,"acetyl-CoA synthetase"
"chromosome","NC_002516.2",972166,972945,"+",879210,"aotJ","PA0888","NP_249579.1",259,"arginine/ornithine ABC transporter substrate-binding protein AotJ"
"chromosome","NC_002516.2",973064,973753,"+",882205,"aotQ","PA0889","NP_249580.1",229,"arginine/ornithine ABC transporter permease AotQ"
"chromosome","NC_002516.2",973770,974468,"+",880652,"aotM","PA0890","NP_249581.1",232,"arginine/ornithine ABC transporter permease AotM"
"chromosome","NC_002516.2",974482,975594,"+",877572,,"PA0891","NP_249582.1",370,"hypothetical protein PA0891"
"chromosome","NC_002516.2",975613,976377,"+",882247,"aotP","PA0892","NP_249583.1",254,"arginine/ornithine ABC transporter ATP-binding protein AotP"
"chromosome","NC_002516.2",976410,977399,"+",879434,"argR","PA0893","NP_249584.1",329,"transcriptional regulator ArgR"
"chromosome","NC_002516.2",977420,977743,"-",879273,,"PA0894","NP_249585.1",107,"hypothetical protein PA0894"
"chromosome","NC_002516.2",977910,979130,"+",878207,"aruC","PA0895","NP_249586.1",406,"acetylornithine aminotransferase"
"chromosome","NC_002516.2",979329,980345,"+",879437,"aruF","PA0896","NP_249587.1",338,"arginine N-succinyltransferase subunit alpha"
"chromosome","NC_002516.2",980357,981379,"+",883082,"aruG","PA0897","NP_249588.1",340,"arginine N-succinyltransferase subunit beta"
"chromosome","NC_002516.2",981422,982888,"+",883040,"aruD","PA0898","NP_249589.1",488,"N-succinylglutamate 5-semialdehyde dehydrogenase"
"chromosome","NC_002516.2",982885,984231,"+",878588,"aruB","PA0899","NP_249590.1",448,"N-succinylarginine dihydrolase"
"chromosome","NC_002516.2",984245,984535,"+",879369,,"PA0900","NP_249591.1",96,"hypothetical protein PA0900"
"chromosome","NC_002516.2",984549,985547,"+",878165,"aruE","PA0901","NP_249592.1",332,"succinylglutamate desuccinylase"
"chromosome","NC_002516.2",985692,986696,"+",881903,,"PA0902","NP_249593.1",334,"hypothetical protein PA0902"
"chromosome","NC_002516.2",986818,989442,"+",878299,"alaS","PA0903","NP_249594.1",874,"alanine--tRNA ligase"
"chromosome","NC_002516.2",989590,990828,"+",878315,"lysC","PA0904","NP_249595.1",412,"aspartokinase"
"chromosome","NC_002516.2",991013,991198,"+",878352,"rsmA","PA0905","NP_249596.1",61,"carbon storage regulator"
"chromosome","NC_002516.2",991830,992543,"-",878520,,"PA0906","NP_249597.1",237,"transcriptional regulator"
"chromosome","NC_002516.2",992714,993244,"+",878349,,"PA0907","NP_249598.1",176,"hypothetical protein PA0907"
"chromosome","NC_002516.2",993409,993783,"+",878331,,"PA0908","NP_249599.1",124,"hypothetical protein PA0908"
"chromosome","NC_002516.2",993776,994051,"+",882062,,"PA0909","NP_249600.1",91,"hypothetical protein PA0909"
"chromosome","NC_002516.2",994143,994646,"+",877763,,"PA0910","NP_249601.1",167,"hypothetical protein PA0910"
"chromosome","NC_002516.2",994699,995151,"+",878434,,"PA0911","NP_249602.1",150,"hypothetical protein PA0911"
"chromosome","NC_002516.2",995172,995711,"-",879513,,"PA0912","NP_249603.1",179,"hypothetical protein PA0912"
"chromosome","NC_002516.2",996038,997486,"+",878306,"mgtE","PA0913","NP_249604.1",482,"Mg transporter MgtE"
"chromosome","NC_002516.2",997536,997928,"-",880653,,"PA0914","NP_249605.1",130,"hypothetical protein PA0914"
"chromosome","NC_002516.2",997921,998382,"-",880613,,"PA0915","NP_249606.1",153,"hypothetical protein PA0915"
"chromosome","NC_002516.2",998444,999766,"-",880629,,"PA0916","NP_249607.1",440,"ribosomal protein S12 methylthiotransferase RimO"
"chromosome","NC_002516.2",1000013,1001917,"+",880673,"kup","PA0917","NP_249608.1",634,"potassium transport system protein kup"
"chromosome","NC_002516.2",1001972,1002520,"-",878803,,"PA0918","NP_249609.1",182,"cytochrome b561"
"chromosome","NC_002516.2",1002681,1003964,"-",877608,,"PA0919","NP_249610.1",427,"hypothetical protein PA0919"
"chromosome","NC_002516.2",1003966,1006611,"-",880933,,"PA0920","NP_249611.1",881,"hypothetical protein PA0920"
"chromosome","NC_002516.2",1006860,1007219,"+",879685,,"PA0921","NP_249612.1",119,"hypothetical protein PA0921"
"chromosome","NC_002516.2",1007234,1007548,"-",881525,,"PA0922","NP_249613.1",104,"hypothetical protein PA0922"
"chromosome","NC_002516.2",1007950,1008999,"+",881987,"dinB","PA0923","NP_249614.1",349,"DNA polymerase IV"
"chromosome","NC_002516.2",1009006,1010934,"-",881719,,"PA0924","NP_249615.1",642,"hypothetical protein PA0924"
"chromosome","NC_002516.2",1011047,1011454,"-",882106,,"PA0925","NP_249616.1",135,"hypothetical protein PA0925"
